song_name,link
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics
Wood,https://genius.com/Taylor-swift-wood-lyrics
All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-lyrics
Fortnight,https://genius.com/Taylor-swift-fortnight-lyrics
The Fate of Ophelia,https://genius.com/Taylor-swift-the-fate-of-ophelia-lyrics
cardigan,https://genius.com/Taylor-swift-cardigan-lyrics
"So Long, London",https://genius.com/Taylor-swift-so-long-london-lyrics
loml,https://genius.com/Taylor-swift-loml-lyrics
The Tortured Poets Department,https://genius.com/Taylor-swift-the-tortured-poets-department-lyrics
deja vu,https://genius.com/Olivia-rodrigo-deja-vu-lyrics
exile,https://genius.com/Taylor-swift-exile-lyrics
Lover,https://genius.com/Taylor-swift-lover-lyrics
But Daddy I Love Him,https://genius.com/Taylor-swift-but-daddy-i-love-him-lyrics
Down Bad,https://genius.com/Taylor-swift-down-bad-lyrics
Father Figure,https://genius.com/Taylor-swift-father-figure-lyrics
the 1,https://genius.com/Taylor-swift-the-1-lyrics
Is It Over Now? (Taylor’s Version) [From the Vault],https://genius.com/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-lyrics
Cruel Summer,https://genius.com/Taylor-swift-cruel-summer-lyrics
thanK you aIMee,https://genius.com/Taylor-swift-thank-you-aimee-lyrics
august,https://genius.com/Taylor-swift-august-lyrics
So High School,https://genius.com/Taylor-swift-so-high-school-lyrics
The Smallest Man Who Ever Lived,https://genius.com/Taylor-swift-the-smallest-man-who-ever-lived-lyrics
Eldest Daughter,https://genius.com/Taylor-swift-eldest-daughter-lyrics
Guilty as Sin?,https://genius.com/Taylor-swift-guilty-as-sin-lyrics
I Can Do It With a Broken Heart,https://genius.com/Taylor-swift-i-can-do-it-with-a-broken-heart-lyrics
tolerate it,https://genius.com/Taylor-swift-tolerate-it-lyrics
champagne problems,https://genius.com/Taylor-swift-champagne-problems-lyrics
Anti-Hero,https://genius.com/Taylor-swift-anti-hero-lyrics
