song_name,link,lyrics
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics,"389 Contributors
Translations
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault] Lyrics
Widely regarded as one of Swift’s best songs, “All Too Well” sees her picking up shards of memories after a gut-wrenching breakup. She jumps through time to reflect on her best and worst memories with her ex,… Read More 
[Verse 1]
I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow

And I left my scarf there at your sister's house
And you've still got it in your drawer, even now


[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate

Autumn leaves fallin' down like pieces into place

And I can picture it after all these days


[Pre-Chorus]
And I know it's long gone and
That magic's not here no more

And I might be okay, but I'm not fine at all

Oh, oh, oh

[Chorus]
'Causе there we arе again on that little town street

You almost ran the red 'cause you were lookin' over at me

Wind in my hair, I was there

I remember it all too well

[Verse 3]
Photo album on the counter, your cheeks were turnin' red

You used to be a little kid with glasses in a twin-sized bed

And your mother's tellin' stories 'bout you on the
 tee-ball team

You taught me 'bout your past, thinkin' your future was me

And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town

And I was thinkin' on the drive down, ""Any time now

He's gonna say it's love,"" you never called it what it was

'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame



[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do

And I forget about you long enough
To forget why I needed to

[Chorus]

'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light

Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath

Sacred prayer and we'd swear
To remember it all too well, yeah

[Bridge]
Well, maybe we got lost in translation
, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest

I'm a crumpled-up piece of paper lyin' here

'Cause I remember it all, all, all



[Verse 4]
They say all's well that ends well, but I'm in a new hell

Every time you double-cross my mind

You said if we had been closer in age, maybe it would've been fine
And that made me want to die

The idea you had of me, who was she?

A never-needy, ever-lovely jewel whose shine reflects on you

Not weepin' in a party bathroom

Some actress askin' me what happened, you

That's what happened, you
You who charmed my dad with self-effacing jokes

Sippin' coffee like you're on a late-night show

But then he watched me watch the front door all night, willin' you to come

And he said, ""It's supposed to be fun turning twenty-one""


[Verse 5]
Time won't fly, it's like I'm paralyzed by it

I'd like to be my old self again, but I'm still tryin' to find it

After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone

But you keep my old scarf from that very first week

'Cause it reminds you of innocence and it smells like me

You can't get rid of it
'Cause you remember it all too well, yeah

[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known

It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all

It was rare, I was there
I remember it all too well


[Verse 6]
And I was never good at tellin' jokes, but the punch line goes

""I'll get older, but your lovers stay my age""

From when your Brooklyn broke my skin and bones

I'm a soldier who's returning half her weight

And did the twin flame bruise paint you blue?

Just between us, did the love affair maim you too?

'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well


[Outro]
Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us) all too well

Wind in my hair, I was there, I was there (I was there)
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there (Oh)
Down the stairs, I was there, I was there (I was there)
Sacred prayer, I was there, I was there
It was rare, you remember it (All too well)
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there

It was rare, you remember it"
Wood,https://genius.com/Taylor-swift-wood-lyrics,"172 Contributors
Translations
Wood Lyrics
Laden with innuendos and sexual humor, “Wood” has Taylor Swift singing cheekily about the confidence and joy that she feels in her relationship with Travis Kelce. The lyrics may reference numerous different… Read More 
[Verse 1]
Daisy's bare naked, I was distraught
He loves me not
He loves me not

Penny's unlucky, I took him back

And then stepped on a crack
And the black cat laughed


[Pre-Chorus]
And, baby, I'll admit I've been a little superstitious (Superstitious)
Fingers crossed until you put your hand on mine (Ah)

Seems to be that you and me, we make our own luck

A bad sign is all good, I ain't gotta knock on wood


[Chorus]

(Ah) All of that bitchin', wishing on a falling star

Never did me any good, I ain't got to knock on wood

(Ah) It's you and me forever dancing in the dark

All over me, it's understood, I ain't got to knock on wood


[Post-Chorus]
Forgive me, it sounds cocky

He ah-matized me and opened my еyes

Redwood tree, it ain't hard to see

His love was thе key that opened my thighs



[Verse 2]
Girls, I don't need to catch the bouquet, mm
To know a hard rock is on the way


[Pre-Chorus]
And, baby, I'll admit I've been a little superstitious (Superstitious)
The curse on me was broken by your magic wand (Ah)

Seems to be that you and me, we make our own luck

New Heights (New Heights) of manhood (Manhood),
 I ain't gotta knock on wood


[Chorus]

(Ah) All of that bitchin', wishing on a falling star

Never did me any good, I ain't got to knock on wood

(Ah) It's you and me forever dancing in the dark

All over me, it's understood, I ain't got to knock on wood


[Post-Chorus]
Forgive me, it sounds cocky

He ah-matized me and opened my eyes

Redwood tree, it ain't hard to see

His love was the key that opened my thighs

Forgive me, it sounds cocky

He ah-matized me and opened my eyes

Redwood tree, it ain't hard to see

His love was the key that opened my thighs"
All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-lyrics,"90 Contributors
Translations
All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic] Lyrics
Swift’s release of “All Too Well (10 Minute Version)”—as a part of her 2021 rerelease of Red (Taylor’s Version)—was followed by the announcement of an acoustic version on Twitter, just five days after the… Read More 
[Verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow

And I left my scarf there at your sister's house
And you've still got it in your drawer, even now


[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate

Autumn leaves falling down like pieces into place

And I can picture it after all these days


[Pre-Chorus]
And I know it's long gone and
That magic's not here no more

And I might be okay, but I'm not fine at all

Oh, oh, oh

[Chorus]
'Cause there we are again on that little town street
You almost ran the red 'cause you were lookin' over at me

Wind in my hair, I was there
I remember it all too well

[Verse 3]
Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team

You told me 'bout your past, thinking your future was me

And you were tossing me the car keys, ""Fuck the patriarchy""
Key chain on the ground, we were always skipping town

And I was thinking on the drive down, any time now
He's gonna say it's love, you never called it what it was

'Til we were dead and gone and buried
Check the pulse and come back swearing it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame



[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do

And I forget about you long enough
To forget why I needed to

[Chorus]

'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light

Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath

Sacred prayer and we'd swear
To remember it all too well, yeah


[Bridge]
Well, maybe we got lost in translation

Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of being honest

I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all



[Verse 4]
They say all's well that ends well, but I'm in a new Hell

Every time you double-cross my mind

You said if we had been closer in age maybe it would have been fine
And that made me want to die

The idea you had of me, who was she?

A never-needy, ever-lovely jewel whose shine reflects on you

Not weeping in a party bathroom

Some actress asking me what happened, you

That's what happened, you
You who charmed my dad with self-effacing jokes

Sipping coffee like you're on a late-night show

But then he watched me watch the front door all night, willing you to come

And he said, ""It's supposed to be fun turning twenty-one""


[Verse 5]
Time won't fly, it's like I'm paralyzed by it

I'd like to be my old self again, but I'm still trying to find it

After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it

'Cause you remember it all too well, yeah

[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known

It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there

I remember it all too well


[Verse 6]
And I was never good at telling jokes, but the punch line goes
""I'll get older, but your lovers stay my age""

From when your Brooklyn broke my skin and bones

I'm a soldier who's returning half her weight

And did the twin flame bruise paint you blue?

Just between us, did the love affair maim you, too?

'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well


[Outro]
Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us), all too well

Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well


[Spoken Outro]
I love you guys so much"
Fortnight,https://genius.com/Taylor-swift-fortnight-lyrics,"268 Contributors
Translations
Fortnight Lyrics
“Fortnight” sees Taylor reminiscing on what could’ve been as she paints the picture of an “American town where the American Dream you thought would happen to you didn’t”. As the opener to Taylor’s eleventh… Read More 
[Verse 1: Taylor Swift]
I was supposed to be sent away
But they forgot to come and get me

I was a functioning alcoholic
'Til nobody noticed my new aesthetic

All of this to say I hope you're okay
But you're the reason
And no one here's to blame
But what about your quiet treason?


[Chorus: Taylor Swift]
And for a fortnight there, we were forever

Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors

Your wife waters flowers, I wanna kill her


[Verse 2: Taylor Swift, Taylor Swift & Post Malone, Post Malone]
All my mornings are Mondays stuck in an endless February

I took the miracle move-on drug, the effects were temporary

And I love you, it's ruining my life
I love you, it's ruining my life

I touched you for only a fortnight

I touched you, but I touched you

[Chorus: Taylor Swift, Taylor Swift & Post Malone]
And for a fortnight there, we were forever

Run into you sometimes, ask about the weather
Now you're in my backyard, turned into good neighbors
Your wife waters flowers, I wanna kill her

And for a fortnight there, we were together

Run into you sometimes, comment on my sweater
Now you're at the mailbox, turned into good neighbors
My husband is cheating, I wanna kill him



[Bridge: Taylor Swift, Post Malone, Taylor Swift & Post Malone]
I love you, it's ruining my life
I love you, it's ruining my life

I touched you for only a fortnight

I touched you, I touched you

I love you, it's ruining my life
I love you, it's ruining my life

I touched you for only a fortnight
I touched you, I touched you

[Outro: Post Malone, Post Malone & Taylor Swift, Taylor Swift]
Thought of callin' ya, but you won't pick up
'Nother fortnight lost in America

Move to Florida,
 buy the car you want

But it won't start up 'til you touch, touch, touch me

Thought of calling ya, but you won't pick up
'Nother fortnight lost in America
Move to Florida,
 buy the car you want

But it won't start up 'til I touch, touch, touch you"
The Fate of Ophelia,https://genius.com/Taylor-swift-the-fate-of-ophelia-lyrics,"166 Contributors
Translations
The Fate of Ophelia Lyrics
“The Fate of Ophelia” opens The Life of a Showgirl with a direct reference to Shakespeare’s tragic heroine, Ophelia, from the play Hamlet. The character of Ophelia has descent into madness and drowning has… Read More 
[Verse 1]
I heard you calling on the megaphone

You wanna see me all alone

As legend has it, you are quite the pyro
You light the match to watch it blow


[Pre-Chorus]
And if you'd never come for me

I might've drowned in the melancholy

I swore my loyalty to me (Me), myself (Myself), and I (I)
Right before you lit my sky up


[Chorus]

All that time
I sat alone in my tower

You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and

Saved my heart from the fate of
Ophelia (Ophеlia)


[Post-Chorus]
Keep it one hundred on the land (Land), thе sea (Sea), the sky

Pledge allegiance to your hands,
 your team
, your vibes

Don't care where the hell you've been (Been) 'cause now (Now) you're mine

It's 'bout to be the sleepless night you've been dreaming of

The fate of Ophelia



[Verse 2]
The eldest daughter of a nobleman

Ophelia lived in fantasy

But love was a cold bed full of scorpions
The venom stole her sanity


[Pre-Chorus]
And if you'd never come for me (Come for me)

I might've lingered in purgatory

You wrap around me like a chain (A chain), a crown (A crown), a vine (A vine)

Pulling me into the fire


[Chorus]

All that time
I sat alone in my tower

You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and

Saved my heart from the fate of
Ophelia (Ophelia)


[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky

Pledge allegiance to your hands,
 your team
, your vibes

Don't care where the hell you've been (Been) 'cause now (Now) you're mine

It's 'bout to be the sleepless night you've been dreaming of

The fate of Ophelia



[Bridge]
'Tis locked inside my memory
And only you possess the key

No longer drowning and deceived
All because you came for me

Locked inside my memory
And only you possess the key

No longer drowning and deceived
All because you came for me


[Chorus]

All that time
I sat alone in my tower

You were just honing your powers
Now I can see it all (I can see it all)
Late one night
You dug me out of my grave and

Saved my heart from the fate of
Ophelia (Ophelia)


[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky

Pledge allegiance to your hands (Your hands),
 your team
, your vibes

Don't care where the hell you've been (You've been) 'cause now ('Cause now) you're mine

It's 'bout to be the sleepless night you've been dreaming of

The fate of Ophelia



[Outro]
You saved my heart from the fate of Ophelia"
cardigan,https://genius.com/Taylor-swift-cardigan-lyrics,"304 Contributors
Translations
cardigan Lyrics
Accompanied by the release of her project written and recorded during the lockdown due to COVID-19, “cardigan” is the lead single from Taylor Swift’s eighth studio album, folklore. Its music video — which… Read More 
[Verse 1]
Vintage tee, brand new phone

High heels on cobblestones

When you are young, they assume you know nothing

Sequin smile, black lipstick

Sensual politics

When you are young, they assume you know nothing


[Chorus]
But I knew you

Dancin' in your Levi's

Drunk under a streetlight, I

I knew you
Hand under my sweatshirt
Baby, kiss it better, I

[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite


[Verse 2]
A friend to all is a friend to none
Chase two girls, lose the one

When you are young, they assume you know nothing



[Chorus]
But I knew you
Playing hide-and-seek and

Giving me your weekends, I

I knew you
Your heartbeat on the High Line

Once in twenty lifetimes, I


[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite


[Bridge]
To kiss in cars and downtown bars
Was all we needed

You drew stars around my scars
But now I'm bleedin'


[Chorus]
'Cause I knew you
Steppin' on the last train

Marked me like a bloodstain, I

I knew you
Tried to change the ending

Peter losing Wendy, I

I knew you
Leavin' like a father

Running like water, I
And when you are young, they assume you know nothing



[Verse 3]
But I knew you'd linger like a tattoo kiss

I knew you'd haunt all of my what-ifs

The smell of smoke would hang around this long

'Cause I knew everything when I was young

I knew I'd curse you for the longest time

Chasin' shadows in the grocery line

I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light

And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back


[Refrain]
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite"
"So Long, London",https://genius.com/Taylor-swift-so-long-london-lyrics,"213 Contributors
Translations
So Long, London Lyrics
“So Long, London” is rumored to be about Taylor’s British ex-boyfriend, Joe Alywn, whom she dated from 2016 to 2023. Throughout her tragic narration, Taylor hints at the possible reasons behind their breakup.… Read More 
[Intro]
So (So) long (Long), London (London)
So (So) long (Long), London (London)
So (So) long (Long), London (London)


[Verse 1]

I saw in my mind fairy lights through the mist

I kept calm and carried the weight of the rift

Pulled him in tighter each time he was driftin' away
My spine split from carrying us up the hill

Wet through my clothes, weary bones caught the chill

I stopped tryna make him laugh, stopped tryna drill the safe


[Chorus]
Thinkin', ""How much sad did you think I had
Did you think I had in me?""
Oh, the tragedy

So long, London
You'll find someone


[Verse 2]
I didn't opt in to be your odd man out

I founded the club she's heard great things about

I left all I knew, you left me at the house by the Heath

I stoppеd CPR, after all, it's no use
The spirit was gonе, we would never come to

And I'm pissed off you let me give you all that youth for free



[Chorus]
For so long, London
Stitches undone

Two graves, one gun

I'll find someone

[Bridge]
And you say I abandoned the ship
But I was going down with it
My white-knuckle dying grip
Holding tight to your quiet resentment

And my friends said it isn't right to be scared
Every day of a love affair
Every breath feels like rarest air
When you're not sure if he wants to be there


[Chorus]

So how much sad did you think I had
Did you think I had in me?
How much tragedy?
Just how low did you
Think I'd go 'fore I'd self-implode?
'Fore I'd have to go be free?

[Verse 3]
You swore that you loved me, but where were the clues?

I died on the altar waitin' for the proof

You sacrificed us to the gods of your bluest days

And I'm just getting color back into my face

I'm just mad as hell 'cause I loved this place for



[Chorus]

So (So) long (Long), London (London)
Had (Had) a (A) good (Good) run (Run)
A moment (Moment) of warm sun (Sun)
But I'm (I'm) not (Not) the (The) one (One)
So (So) long (Long), London (London)
Stitches (Stitches) undone (Undone)

Two (Two) graves (Graves) one gun (Gun)

You'll (You'll) find (Find) someone"
loml,https://genius.com/Taylor-swift-loml-lyrics,"250 Contributors
Translations
loml Lyrics
Track 12 of Taylor’s eleventh album, “The Tortured Poet’s Department”, ‘loml’, characterised in all lower-case, suggests Taylor delving into her past relationships, hence the use of the abbreviated cybertext… Read More 
[Verse 1]
Who's gonna stop us from waltzing back into rekindled flames

If we know the steps anyway?

We embroidered the memories of the time I was away

Stitching, ""We were just kids, babe""

I said, ""I don't mind, it takes time""

I thought I was better safe than starry-eyed

I felt aglow like this
Never before and never since


[Chorus]
If you know it in one glimpse, it's legendary

You and I go from one kiss to getting married

Still alivе, killing time at the cemеtery
Never quite buried

In your suit and tie,
 in the nick of time

You low-down boy, you stand-up guy

You Holy Ghost, you told me I'm the love of your life

You said I'm the love of your life

About a million times


[Verse 2]
Who's gonna tell me the truth when you blew in with the winds of fate

And told me I reformed you?

When your impressionist paintings of heaven turned out to be fakes

Well, you took me to hell too

And all at once, the ink bleeds

A con man sells a fool a get-love-quick scheme

But I've felt a hole like this
Never before and ever since



[Chorus]
If you know it in one glimpse, it's legendary

What we thought was for all time was momentary

Still alive, killing time at the cemetery
Never quite buried

You cinephile in black and white

All those plot twists and dynamite

Mr. Steal Your Girl, then make her cry

You said I'm the love of your life


[Bridge]
You shit-talked me under the table

Talkin' rings and talkin' cradles

I wish I could un-recall
How we almost had it all

Dancing phantoms on the terrace
Are they second-hand embarrassed
That I can't get out of bed

'Cause something counterfeit's dead?

It was legendary
It was momentary

It was unnecessary

Should've let it stay buried


[Chorus]
Oh, what a valiant roar

What a bland goodbye
The coward claimed he was a lion

I'm combing through the braids of lies

""I'll never leave,"" ""Never mind""
Our field of dreams engulfed in fire

Your arson's match, your somber eyes

And I'll still see it until I die

You're the loss of my life"
The Tortured Poets Department,https://genius.com/Taylor-swift-the-tortured-poets-department-lyrics,"158 Contributors
Translations
The Tortured Poets Department Lyrics
[Verse 1]
You left your typewriter at my apartment

Straight from the tortured poets department

I think some things I never say
Like, ""Who uses typewriters anyway?""

But you're in self-sabotage mode

Throwing spikes down on the road
But I've seen this episode and still loved the show

Who else decodes you?


[Chorus]
And who's gonna hold you like me?

And who's gonna know you, if not me?
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we'rе modern idiots""

And who's gonna hold you like me?

[Post-Chorus]
Nobody
No-fucking-body
Nobody

[Verse 2]
You smokеd, then ate seven bars of chocolate

We declared Charlie Puth should be a bigger artist

I scratch your head, you fall asleep

Like a tattooed golden retriever

But you awaken with dread
Pounding nails in your head

But I've read this one where you come undone

I chose this cyclone with you



[Chorus]
And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)
And who's gonna know you like me?
(Who's gonna know you?)
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're modern idiots""

And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)

[Post-Chorus]
No-fucking-body
(Who's gonna hold you? Who's gonna hold you?)
Nobody
(Who's gonna hold you? Gonna know you? Gonna troll you?)
Nobody

[Bridge]
Sometimes, I wonder if you're gonna screw this up with me
But you told Lucy you'd kill yourself if I ever leave

And I had said that to Jack about you, so I felt seen

Everyone we know understands why it's meant to be

'Cause we're crazy
So tell me, who else is gonna know me?
At dinner, you take my ring off my middle finger
And put it on the one people put wedding rings on
And that's the closest I've come to my heart exploding



[Chorus]
Who's gonna hold you? (Who?)
Me
Who's gonna know you? (Who?)
Me
And you're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're two idiots

Who's gonna hold you?

[Post-Chorus]
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Gonna know you? Gonna troll you?


[Outro]
You left your typewriter at my apartment
Straight from the tortured poets department

Who else decodes you?"
deja vu,https://genius.com/Olivia-rodrigo-deja-vu-lyrics,"251 Contributors
Translations
deja vu Lyrics
“deja vu” is the second single from Olivia Rodrigo’s debut studio album, SOUR, and her first release since the breakout success of her debut single, “drivers license.” This song finds Olivia at a different… Read More 
[Verse 1]
Car rides to Malibu

Strawberry ice cream, one spoon for two

And tradin' jackets
Laughin’ 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Bein' annoying, singin’ in harmony

I bet she's braggin' to all her friends, sayin' you're so unique, hmm

[Chorus]
So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you
Do you get déjà vu when she’s with you?
Do you get déjà vu? (Ah) Hmm
Do you get déjà vu, huh?


[Verse 2]
Do you call her, almost say my name?
’Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type

And I bet that she knows Billy Joel
’Cause you played her ""Uptown Girl""

You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (Ooh; I love you)



[Chorus]
So when you gonna tell her that we did that, too?
She thinks it's special, but it’s all reused
That was the show we talked about
Played you the songs she's singing now when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?


[Bridge]

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (Oh, oh)
That I was the one who taught you Billy Joel (Oh)
A different girl now, but there's nothing new


[Outro]

I know you get déjà vu
I know you get déjà vu
I know you get déjà vu"
